Product_Identifier,Supermarket_Identifier,Product_Supermarket_Identifier,Product_Weight,Product_Fat_Content,Product_Shelf_Visibility,Product_Type,Product_Price,Supermarket_Opening_Year,Supermarket _Size,Supermarket_Location_Type,Supermarket_Type,Product_Supermarket_Sales
FDH05,CHUKWUDI027,FDH05_CHUKWUDI027,,Normal Fat,0.090473389,Frozen Foods,574.5,1992,Medium,Cluster 3,Supermarket Type3,15060.4
FDH05,CHUKWUDI035,FDH05_CHUKWUDI035,14.35,Normal Fat,0.090896452,Frozen Foods,578.25,2011,Small,Cluster 2,Supermarket Type1,15060.4
FDH05,CHUKWUDI045,FDH05_CHUKWUDI045,14.35,Normal Fat,0.091098018,Frozen Foods,584,2009,,Cluster 2,Supermarket Type1,4633.97
FDH08,CHUKWUDI019,FDH08_CHUKWUDI019,,Low Fat,0.030516069,Fruits and Vegetables,569.5,1992,Small,Cluster 1,Grocery Store,1148.51
FDH08,CHUKWUDI027,FDH08_CHUKWUDI027,,Low Fat,0.017344679,Fruits and Vegetables,577,1992,Medium,Cluster 3,Supermarket Type3,13207.81
FDH08,CHUKWUDI035,FDH08_CHUKWUDI035,7.51,Low Fat,0.017425784,Fruits and Vegetables,569.75,2011,Small,Cluster 2,Supermarket Type1,1148.51
FDH10,CHUKWUDI017,FDH10_CHUKWUDI017,21,Low Fat,0.049583899,Snack Foods,484.62,2014,,Cluster 2,Supermarket Type1,2906.22
FDH10,CHUKWUDI018,FDH10_CHUKWUDI018,21,Low Fat,0.049505857,Snack Foods,488.37,2016,Medium,Cluster 3,Supermarket Type2,2906.22
FDH10,CHUKWUDI019,FDH10_CHUKWUDI019,,Low Fat,0.086326707,Snack Foods,481.62,1992,Small,Cluster 1,Grocery Store,968.74
FDH10,CHUKWUDI027,FDH10_CHUKWUDI027,,Low Fat,0.049066248,Snack Foods,481.12,1992,Medium,Cluster 3,Supermarket Type3,22281
FDH10,CHUKWUDI035,FDH10_CHUKWUDI035,21,Low Fat,0.049295686,Snack Foods,486.12,2011,Small,Cluster 2,Supermarket Type1,2421.85
FDH10,CHUKWUDI049,FDH10_CHUKWUDI049,21,Low Fat,0.049381666,Snack Foods,482.62,2006,Medium,Cluster 1,Supermarket Type1,3874.96
FDH12,CHUKWUDI049,FDH12_CHUKWUDI049,9.6,Low Fat,0.085085743,Baking Goods,262.82,2006,Medium,Cluster 1,Supermarket Type1,2663.2
FDH14,CHUKWUDI010,FDH14_CHUKWUDI010,17.1,Normal Fat,0.078347922,Canned,354.71,2005,,Cluster 3,Grocery Store,702.42
FDH14,CHUKWUDI013,FDH14_CHUKWUDI013,17.1,Normal Fat,0.0467696,Canned,352.96,1994,High,Cluster 3,Supermarket Type1,5619.35
FDH14,CHUKWUDI017,FDH14_CHUKWUDI017,17.1,Normal Fat,0.047073322,Canned,346.71,2014,,Cluster 2,Supermarket Type1,7375.4
FDH14,CHUKWUDI019,FDH14_CHUKWUDI019,,Normal Fat,0.081955735,Canned,355.21,1992,Small,Cluster 1,Grocery Store,702.42
FDH14,CHUKWUDI045,FDH14_CHUKWUDI045,17.1,Normal Fat,0.046903482,Canned,355.21,2009,,Cluster 2,Supermarket Type1,6321.77
FDH14,CHUKWUDI046,FDH14_CHUKWUDI046,17.1,Normal Fat,0.046808553,Canned,353.71,2004,Small,Cluster 1,Supermarket Type1,3512.1
FDH14,CHUKWUDI049,FDH14_CHUKWUDI049,17.1,Normal Fat,0.046881328,Canned,353.46,2006,Medium,Cluster 1,Supermarket Type1,4214.51
FDH16,CHUKWUDI013,FDH16_CHUKWUDI013,10.5,Low Fat,0.052511611,Frozen Foods,226.96,1994,High,Cluster 3,Supermarket Type1,3145.91
FDH17,CHUKWUDI013,FDH17_CHUKWUDI013,16.2,Normal Fat,0.016639482,Frozen Foods,239.68,1994,High,Cluster 3,Supermarket Type1,2691.5
FDH17,CHUKWUDI046,FDH17_CHUKWUDI046,16.2,Normal Fat,0.01665334,Frozen Foods,243.43,2004,Small,Cluster 1,Supermarket Type1,5138.31
FDH17,CHUKWUDI049,FDH17_CHUKWUDI049,16.2,Normal Fat,0.016679232,Frozen Foods,240.93,2006,Medium,Cluster 1,Supermarket Type1,6851.08
FDH19,CHUKWUDI017,FDH19_CHUKWUDI017,19.35,Low Fat,0.033275634,Meat,434.68,2014,,Cluster 2,Supermarket Type1,6082.08
FDH19,CHUKWUDI018,FDH19_CHUKWUDI018,19.35,Low Fat,0.03322326,Meat,430.18,2016,Medium,Cluster 3,Supermarket Type2,8254.26
FDH19,CHUKWUDI019,FDH19_CHUKWUDI019,,Low Fat,0.057933643,Meat,437.93,1992,Small,Cluster 1,Grocery Store,868.87
FDH19,CHUKWUDI027,FDH19_CHUKWUDI027,,Low Fat,0.03292824,Meat,432.93,1992,Medium,Cluster 3,Supermarket Type3,18246.25
FDH19,CHUKWUDI035,FDH19_CHUKWUDI035,19.35,Low Fat,0.033082215,Meat,431.43,2011,Small,Cluster 2,Supermarket Type1,12164.17
FDH19,CHUKWUDI046,FDH19_CHUKWUDI046,19.35,Low Fat,0.033088472,Meat,438.68,2004,Small,Cluster 1,Supermarket Type1,1303.3
FDH20,CHUKWUDI013,FDH20_CHUKWUDI013,16.1,Normal Fat,0.024928351,Fruits and Vegetables,237.85,1994,High,Cluster 3,Supermarket Type1,7723.28
FDH20,CHUKWUDI049,FDH20_CHUKWUDI049,16.1,Normal Fat,0.024987903,Fruits and Vegetables,243.35,2006,Medium,Cluster 1,Supermarket Type1,3137.58
FDH21,CHUKWUDI010,FDH21_CHUKWUDI010,10.395,Ultra Low fat,0.05226427,Seafood,396.15,2005,,Cluster 3,Grocery Store,396.15
FDH21,CHUKWUDI013,FDH21_CHUKWUDI013,10.395,Low Fat,0.031199028,Seafood,398.65,1994,High,Cluster 3,Supermarket Type1,792.3
FDH21,CHUKWUDI019,FDH21_CHUKWUDI019,,Low Fat,0.054670967,Seafood,396.65,1992,Small,Cluster 1,Grocery Store,792.3
FDH21,CHUKWUDI027,FDH21_CHUKWUDI027,,Low Fat,0.031073804,Seafood,393.9,1992,Medium,Cluster 3,Supermarket Type3,14261.44
FDH21,CHUKWUDI035,FDH21_CHUKWUDI035,10.395,Low Fat,0.031219108,Seafood,392.4,2011,Small,Cluster 2,Supermarket Type1,11488.38
FDH21,CHUKWUDI045,FDH21_CHUKWUDI045,10.395,Low Fat,0.031288338,Seafood,398.9,2009,,Cluster 2,Supermarket Type1,7130.72
FDH21,CHUKWUDI049,FDH21_CHUKWUDI049,10.395,Low Fat,0.031273559,Seafood,400.15,2006,Medium,Cluster 1,Supermarket Type1,3169.21
FDH22,CHUKWUDI035,FDH22_CHUKWUDI035,6.405,Low Fat,0.136275173,Snack Foods,320.42,2011,Small,Cluster 2,Supermarket Type1,2543.36
FDH22,CHUKWUDI049,FDH22_CHUKWUDI049,6.405,Low Fat,0.136512858,Snack Foods,321.92,2006,Medium,Cluster 1,Supermarket Type1,7630.07
FDH24,CHUKWUDI017,FDH24_CHUKWUDI017,20.7,Low Fat,0.021552357,Baking Goods,392.57,2014,,Cluster 2,Supermarket Type1,7463.62
FDH24,CHUKWUDI018,FDH24_CHUKWUDI018,20.7,Low Fat,0.021518435,Baking Goods,393.82,2016,Medium,Cluster 3,Supermarket Type2,3928.22
FDH24,CHUKWUDI035,FDH24_CHUKWUDI035,20.7,Low Fat,0.021427082,Baking Goods,391.32,2011,Small,Cluster 2,Supermarket Type1,3928.22
FDH24,CHUKWUDI046,FDH24_CHUKWUDI046,20.7,Low Fat,0.021431134,Baking Goods,392.57,2004,Small,Cluster 1,Supermarket Type1,5499.51
FDH24,CHUKWUDI049,FDH24_CHUKWUDI049,20.7,Low Fat,0.021464454,Baking Goods,391.57,2006,Medium,Cluster 1,Supermarket Type1,9820.55
FDH26,CHUKWUDI013,FDH26_CHUKWUDI013,19.25,Normal Fat,0.03467086,Canned,354.62,1994,High,Cluster 3,Supermarket Type1,5998.86
FDH26,CHUKWUDI018,FDH26_CHUKWUDI018,19.25,Normal Fat,0.034841089,Canned,352.87,2016,Medium,Cluster 3,Supermarket Type2,705.75
FDH26,CHUKWUDI035,FDH26_CHUKWUDI035,19.25,Normal Fat,0.034693175,Canned,350.37,2011,Small,Cluster 2,Supermarket Type1,3881.61
FDH26,CHUKWUDI045,FDH26_CHUKWUDI045,19.25,Normal Fat,0.034770109,Canned,354.87,2009,,Cluster 2,Supermarket Type1,2470.12
FDH26,CHUKWUDI046,FDH26_CHUKWUDI046,19.25,Normal Fat,0.034699737,Canned,354.37,2004,Small,Cluster 1,Supermarket Type1,10233.35
FDH26,CHUKWUDI049,FDH26_CHUKWUDI049,19.25,Normal Fat,0.034753686,Canned,353.87,2006,Medium,Cluster 1,Supermarket Type1,4940.24
FDH27,CHUKWUDI010,FDH27_CHUKWUDI010,7.075,Low Fat,0.097660814,Dairy,354.53,2005,,Cluster 3,Grocery Store,359.53
FDH27,CHUKWUDI013,FDH27_CHUKWUDI013,7.075,Low Fat,0.058298384,Dairy,364.53,1994,High,Cluster 3,Supermarket Type1,4314.38
FDH27,CHUKWUDI017,FDH27_CHUKWUDI017,7.075,Low Fat,0.058676973,Dairy,355.03,2014,,Cluster 2,Supermarket Type1,6471.58
FDH27,CHUKWUDI018,FDH27_CHUKWUDI018,7.075,Low Fat,0.05858462,Dairy,356.78,2016,Medium,Cluster 3,Supermarket Type2,4673.92
FDH27,CHUKWUDI019,FDH27_CHUKWUDI019,,Low Fat,0.102157958,Dairy,362.53,1992,Small,Cluster 1,Grocery Store,359.53
FDH27,CHUKWUDI045,FDH27_CHUKWUDI045,7.075,Low Fat,0.058465268,Dairy,363.28,2009,,Cluster 2,Supermarket Type1,4673.92
FDH27,CHUKWUDI046,FDH27_CHUKWUDI046,7.075,Low Fat,0.058346939,Dairy,355.53,2004,Small,Cluster 1,Supermarket Type1,7909.7
FDH27,CHUKWUDI049,FDH27_CHUKWUDI049,7.075,Low Fat,0.058437653,Dairy,357.53,2006,Medium,Cluster 1,Supermarket Type1,2876.26
FDH31,CHUKWUDI046,FDH31_CHUKWUDI046,12,Normal Fat,0.020411155,Meat,246.51,2004,Small,Cluster 1,Supermarket Type1,2728.12
FDH31,CHUKWUDI049,FDH31_CHUKWUDI049,12,Normal Fat,0.020442889,Meat,245.01,2006,Medium,Cluster 1,Supermarket Type1,3968.17
FDH32,CHUKWUDI013,FDH32_CHUKWUDI013,12.8,Low Fat,0.075996742,Fruits and Vegetables,242.85,1994,High,Cluster 3,Supermarket Type1,6999.22
FDH32,CHUKWUDI046,FDH32_CHUKWUDI046,12.8,Low Fat,0.076060037,Fruits and Vegetables,237.85,2004,Small,Cluster 1,Supermarket Type1,2172.17
FDH34,CHUKWUDI017,FDH34_CHUKWUDI017,8.63,Low Fat,0.031271134,Snack Foods,465.15,2014,,Cluster 2,Supermarket Type1,9752.31
FDH34,CHUKWUDI019,FDH34_CHUKWUDI019,,Low Fat,0.054443762,Snack Foods,461.65,1992,Small,Cluster 1,Grocery Store,464.4
FDH34,CHUKWUDI027,FDH34_CHUKWUDI027,,Low Fat,0.030944666,Snack Foods,466.65,1992,Medium,Cluster 3,Supermarket Type3,9287.91
FDH34,CHUKWUDI046,FDH34_CHUKWUDI046,8.63,Low Fat,0.031095246,Snack Foods,464.4,2004,Small,Cluster 1,Supermarket Type1,8823.51
FDH34,CHUKWUDI049,FDH34_CHUKWUDI049,8.63,Low Fat,0.031143591,Snack Foods,459.9,2006,Medium,Cluster 1,Supermarket Type1,13467.47
FDH35,CHUKWUDI010,FDH35_CHUKWUDI010,18.25,Low Fat,0.10084386,Starchy Foods,415.88,2005,,Cluster 3,Grocery Store,411.13
FDH35,CHUKWUDI013,FDH35_CHUKWUDI013,18.25,Low Fat,0.060198496,Starchy Foods,407.38,1994,High,Cluster 3,Supermarket Type1,2877.92
FDH35,CHUKWUDI017,FDH35_CHUKWUDI017,18.25,Low Fat,0.060589424,Starchy Foods,406.38,2014,,Cluster 2,Supermarket Type1,2466.79
FDH35,CHUKWUDI027,FDH35_CHUKWUDI027,,Low Fat,0.059956876,Starchy Foods,413.63,1992,Medium,Cluster 3,Supermarket Type3,13156.21
FDH35,CHUKWUDI045,FDH35_CHUKWUDI045,18.25,Low Fat,0,Starchy Foods,411.88,2009,,Cluster 2,Supermarket Type1,11511.68
FDH35,CHUKWUDI049,FDH35_CHUKWUDI049,18.25,Low Fat,0.060342304,Starchy Foods,414.88,2006,Medium,Cluster 1,Supermarket Type1,4111.32
FDH38,CHUKWUDI017,FDH38_CHUKWUDI017,6.425,Low Fat,0.010497273,Canned,295.95,2014,,Cluster 2,Supermarket Type1,7030.85
FDH38,CHUKWUDI018,FDH38_CHUKWUDI018,6.425,Low Fat,0.010480751,Canned,291.45,2016,Medium,Cluster 3,Supermarket Type2,6151.99
FDH38,CHUKWUDI019,FDH38_CHUKWUDI019,,Low Fat,0.018275994,Canned,288.2,1992,Small,Cluster 1,Grocery Store,292.95
FDH38,CHUKWUDI046,FDH38_CHUKWUDI046,6.425,Low Fat,0.01043823,Canned,289.7,2004,Small,Cluster 1,Supermarket Type1,4394.28
FDH38,CHUKWUDI049,FDH38_CHUKWUDI049,6.425,Low Fat,0.010454459,Canned,289.2,2006,Medium,Cluster 1,Supermarket Type1,3515.42
FDH40,CHUKWUDI010,FDH40_CHUKWUDI010,11.6,Normal Fat,0.132111921,Frozen Foods,205.57,2005,,Cluster 3,Grocery Store,609.21
FDH40,CHUKWUDI013,FDH40_CHUKWUDI013,11.6,Normal Fat,0.078863888,Frozen Foods,208.07,1994,High,Cluster 3,Supermarket Type1,3858.31
FDH41,CHUKWUDI019,FDH41_CHUKWUDI019,,Ultra Low fat,0.143591586,Frozen Foods,533.88,1992,Small,Cluster 1,Grocery Store,1075.27
FDH41,CHUKWUDI027,FDH41_CHUKWUDI027,,Low Fat,0.081614376,Frozen Foods,536.88,1992,Medium,Cluster 3,Supermarket Type3,14516.1
FDH41,CHUKWUDI035,FDH41_CHUKWUDI035,9,Low Fat,0.081996013,Frozen Foods,540.63,2011,Small,Cluster 2,Supermarket Type1,10752.67
FDH41,CHUKWUDI045,FDH41_CHUKWUDI045,9,Low Fat,0.082177842,Frozen Foods,535.38,2009,,Cluster 2,Supermarket Type1,4301.07
FDH44,CHUKWUDI010,FDH44_CHUKWUDI010,19.1,Normal Fat,0.043304681,Fruits and Vegetables,368.85,2005,,Cluster 3,Grocery Store,735.71
FDH44,CHUKWUDI017,FDH44_CHUKWUDI017,19.1,Normal Fat,0.026018497,Fruits and Vegetables,370.6,2014,,Cluster 2,Supermarket Type1,7724.94
FDH44,CHUKWUDI035,FDH44_CHUKWUDI035,19.1,Normal Fat,0.025867261,Fruits and Vegetables,369.1,2011,Small,Cluster 2,Supermarket Type1,3678.55
FDH44,CHUKWUDI045,FDH44_CHUKWUDI045,19.1,Normal Fat,0.025924623,Fruits and Vegetables,370.1,2009,,Cluster 2,Supermarket Type1,9564.22
FDH44,CHUKWUDI046,FDH44_CHUKWUDI046,19.1,Normal Fat,0.025872153,Fruits and Vegetables,364.35,2004,Small,Cluster 1,Supermarket Type1,2207.13
FDH44,CHUKWUDI049,FDH44_CHUKWUDI049,19.1,Normal Fat,0.025912378,Fruits and Vegetables,367.1,2006,Medium,Cluster 1,Supermarket Type1,4414.25
FDH46,CHUKWUDI013,FDH46_CHUKWUDI013,6.935,Normal Fat,0.041247932,Snack Foods,254.58,1994,High,Cluster 3,Supermarket Type1,5639.33
FDH46,CHUKWUDI046,FDH46_CHUKWUDI046,6.935,Normal Fat,0.041282286,Snack Foods,258.83,2004,Small,Cluster 1,Supermarket Type1,3076
FDH46,CHUKWUDI049,FDH46_CHUKWUDI049,6.935,Normal Fat,0.041346469,Snack Foods,257.83,2006,Medium,Cluster 1,Supermarket Type1,2050.66
FDH47,CHUKWUDI010,FDH47_CHUKWUDI010,13.5,Normal Fat,0.21561193,Starchy Foods,246.52,2005,,Cluster 3,Grocery Store,243.02
FDH47,CHUKWUDI013,FDH47_CHUKWUDI013,13.5,Normal Fat,0.128709014,Starchy Foods,240.27,1994,High,Cluster 3,Supermarket Type1,4617.32
FDH47,CHUKWUDI046,FDH47_CHUKWUDI046,13.5,Normal Fat,0.128816212,Starchy Foods,241.02,2004,Small,Cluster 1,Supermarket Type1,6318.44
FDH47,CHUKWUDI049,FDH47_CHUKWUDI049,13.5,Normal Fat,0.129016487,Starchy Foods,246.02,2006,Medium,Cluster 1,Supermarket Type1,4617.32
FDH48,CHUKWUDI010,FDH48_CHUKWUDI010,13.5,Low Fat,0.101231721,Baking Goods,215.64,2005,,Cluster 3,Grocery Store,432.77
FDH48,CHUKWUDI013,FDH48_CHUKWUDI013,13.5,Low Fat,0,Baking Goods,220.14,1994,High,Cluster 3,Supermarket Type1,3029.39
FDH50,CHUKWUDI017,FDH50_CHUKWUDI017,15,Normal Fat,0.162348584,Canned,464.82,2014,,Cluster 2,Supermarket Type1,11526.66
FDH50,CHUKWUDI018,FDH50_CHUKWUDI018,15,Normal Fat,0.162093059,Canned,456.32,2016,Medium,Cluster 3,Supermarket Type2,3227.47
FDH50,CHUKWUDI027,FDH50_CHUKWUDI027,,Normal Fat,0.160653682,Canned,463.07,1992,Medium,Cluster 3,Supermarket Type3,14754.13
FDH50,CHUKWUDI035,FDH50_CHUKWUDI035,15,Normal Fat,0.161404914,Canned,464.57,2011,Small,Cluster 2,Supermarket Type1,4610.67
FDH50,CHUKWUDI045,FDH50_CHUKWUDI045,15,Normal Fat,0.161762835,Canned,464.82,2009,,Cluster 2,Supermarket Type1,6454.93
FDH50,CHUKWUDI046,FDH50_CHUKWUDI046,15,Normal Fat,0.16143544,Canned,462.82,2004,Small,Cluster 1,Supermarket Type1,6916
FDH53,CHUKWUDI010,FDH53_CHUKWUDI010,20.5,Normal Fat,0.032136417,Frozen Foods,209.9,2005,,Cluster 3,Grocery Store,412.8
FDH53,CHUKWUDI013,FDH53_CHUKWUDI013,20.5,Normal Fat,0.019183756,Frozen Foods,209.4,1994,High,Cluster 3,Supermarket Type1,3508.77
FDH56,CHUKWUDI010,FDH56_CHUKWUDI010,9.8,Normal Fat,0.106816919,Fruits and Vegetables,285.62,2005,,Cluster 3,Grocery Store,1158.49
FDH56,CHUKWUDI013,FDH56_CHUKWUDI013,9.8,Normal Fat,0.063764099,Fruits and Vegetables,284.62,1994,High,Cluster 3,Supermarket Type1,4344.35
FDH56,CHUKWUDI018,FDH56_CHUKWUDI018,9.8,Normal Fat,0.06407717,Fruits and Vegetables,291.87,2016,Medium,Cluster 3,Supermarket Type2,4054.72
FDH56,CHUKWUDI019,FDH56_CHUKWUDI019,,Normal Fat,0.11173569,Fruits and Vegetables,289.87,1992,Small,Cluster 1,Grocery Store,289.62
FDH56,CHUKWUDI049,FDH56_CHUKWUDI049,9.8,Normal Fat,0.063916425,Fruits and Vegetables,292.87,2006,Medium,Cluster 1,Supermarket Type1,6950.95
FDH57,CHUKWUDI010,FDH57_CHUKWUDI010,10.895,Low Fat,0.059834024,Fruits and Vegetables,333.82,2005,,Cluster 3,Grocery Store,659.14
FDH57,CHUKWUDI017,FDH57_CHUKWUDI017,10.895,Ultra Low fat,0.035949725,Fruits and Vegetables,332.32,2014,,Cluster 2,Supermarket Type1,8239.28
FDH57,CHUKWUDI018,FDH57_CHUKWUDI018,10.895,Low Fat,0.035893143,Fruits and Vegetables,328.32,2016,Medium,Cluster 3,Supermarket Type2,3295.71
FDH57,CHUKWUDI035,FDH57_CHUKWUDI035,10.895,Low Fat,0.035740763,Fruits and Vegetables,329.82,2011,Small,Cluster 2,Supermarket Type1,1647.86
FDH57,CHUKWUDI046,FDH57_CHUKWUDI046,10.895,Low Fat,0.035747522,Fruits and Vegetables,334.07,2004,Small,Cluster 1,Supermarket Type1,3954.85
FDH57,CHUKWUDI049,FDH57_CHUKWUDI049,10.895,Low Fat,0.0358031,Fruits and Vegetables,325.82,2006,Medium,Cluster 1,Supermarket Type1,6261.85
FDH58,CHUKWUDI013,FDH58_CHUKWUDI013,12.3,Low Fat,0.036908933,Snack Foods,289.96,1994,High,Cluster 3,Supermarket Type1,5183.25
FDH58,CHUKWUDI017,FDH58_CHUKWUDI017,12.3,Low Fat,0.037148619,Snack Foods,292.21,2014,,Cluster 2,Supermarket Type1,6623.05
FDH58,CHUKWUDI018,FDH58_CHUKWUDI018,12.3,Low Fat,0,Snack Foods,291.21,2016,Medium,Cluster 3,Supermarket Type2,4607.34
FDH58,CHUKWUDI046,FDH58_CHUKWUDI046,12.3,Low Fat,0.036939673,Snack Foods,282.96,2004,Small,Cluster 1,Supermarket Type1,7774.88
FDH58,CHUKWUDI049,FDH58_CHUKWUDI049,12.3,Low Fat,0.036997104,Snack Foods,289.96,2006,Medium,Cluster 1,Supermarket Type1,5183.25
FDH60,CHUKWUDI017,FDH60_CHUKWUDI017,19.7,Normal Fat,0.081193712,Baking Goods,496.03,2014,,Cluster 2,Supermarket Type1,6383.36
FDH60,CHUKWUDI019,FDH60_CHUKWUDI019,,Normal Fat,0.141360118,Baking Goods,493.28,1992,Small,Cluster 1,Grocery Store,982.06
FDH60,CHUKWUDI027,FDH60_CHUKWUDI027,,Normal Fat,0.080346058,Baking Goods,489.28,1992,Medium,Cluster 3,Supermarket Type3,13748.77
FDH60,CHUKWUDI045,FDH60_CHUKWUDI045,19.7,Normal Fat,0,Baking Goods,494.78,2009,,Cluster 2,Supermarket Type1,4419.25
FDH60,CHUKWUDI049,FDH60_CHUKWUDI049,19.7,Normal Fat,0,Baking Goods,486.03,2006,Medium,Cluster 1,Supermarket Type1,12766.72
FDI02,CHUKWUDI018,FDI02_CHUKWUDI018,15.7,Normal Fat,0.115031783,Canned,285.3,2016,Medium,Cluster 3,Supermarket Type2,1969.1
FDI02,CHUKWUDI046,FDI02_CHUKWUDI046,15.7,Normal Fat,0.114565093,Canned,280.05,2004,Small,Cluster 1,Supermarket Type1,843.9
FDI04,CHUKWUDI018,FDI04_CHUKWUDI018,13.65,Normal Fat,0.073209447,Frozen Foods,494.11,2016,Medium,Cluster 3,Supermarket Type2,6920.99
FDI04,CHUKWUDI019,FDI04_CHUKWUDI019,,Normal Fat,0.127660257,Frozen Foods,496.36,1992,Small,Cluster 1,Grocery Store,1977.43
FDI04,CHUKWUDI027,FDI04_CHUKWUDI027,,Normal Fat,0.072559351,Frozen Foods,498.36,1992,Medium,Cluster 3,Supermarket Type3,9392.77
FDI04,CHUKWUDI035,FDI04_CHUKWUDI035,13.65,Normal Fat,0.072898645,Frozen Foods,495.36,2011,Small,Cluster 2,Supermarket Type1,4943.57
FDI04,CHUKWUDI045,FDI04_CHUKWUDI045,13.65,Normal Fat,0.073060301,Frozen Foods,490.61,2009,,Cluster 2,Supermarket Type1,6426.63
FDI07,CHUKWUDI017,FDI07_CHUKWUDI017,12.35,Normal Fat,0.033951827,Meat,493.11,2014,,Cluster 2,Supermarket Type1,7415.35
FDI07,CHUKWUDI019,FDI07_CHUKWUDI019,,Normal Fat,0.059110912,Meat,498.36,1992,Small,Cluster 1,Grocery Store,988.71
FDI07,CHUKWUDI027,FDI07_CHUKWUDI027,,Normal Fat,0.033597374,Meat,493.11,1992,Medium,Cluster 3,Supermarket Type3,7909.7
FDI07,CHUKWUDI035,FDI07_CHUKWUDI035,12.35,Normal Fat,0.033754478,Meat,497.61,2011,Small,Cluster 2,Supermarket Type1,8404.06
FDI07,CHUKWUDI045,FDI07_CHUKWUDI045,12.35,Normal Fat,0.03382933,Meat,492.36,2009,,Cluster 2,Supermarket Type1,6920.99
FDI07,CHUKWUDI049,FDI07_CHUKWUDI049,12.35,Normal Fat,0.033813351,Meat,495.36,2006,Medium,Cluster 1,Supermarket Type1,9392.77
FDI08,CHUKWUDI017,FDI08_CHUKWUDI017,18.2,Normal Fat,0.066672058,Fruits and Vegetables,620.27,2014,,Cluster 2,Supermarket Type1,10582.89
FDI08,CHUKWUDI035,FDI08_CHUKWUDI035,18.2,Normal Fat,0.066284519,Fruits and Vegetables,618.02,2011,Small,Cluster 2,Supermarket Type1,8715.32
FDI08,CHUKWUDI045,FDI08_CHUKWUDI045,18.2,Normal Fat,0.066431507,Fruits and Vegetables,625.27,2009,,Cluster 2,Supermarket Type1,10582.89
FDI09,CHUKWUDI045,FDI09_CHUKWUDI045,20.75,Normal Fat,0,Seafood,599.97,2009,,Cluster 2,Supermarket Type1,6591.42
FDI10,CHUKWUDI027,FDI10_CHUKWUDI027,,Normal Fat,0.07802465,Snack Foods,428.61,1992,Medium,Cluster 3,Supermarket Type3,8622.11
FDI10,CHUKWUDI049,FDI10_CHUKWUDI049,8.51,Normal Fat,0.078526225,Snack Foods,433.86,2006,Medium,Cluster 1,Supermarket Type1,12502.06
FDI14,CHUKWUDI017,FDI14_CHUKWUDI017,14.1,Low Fat,0.090185027,Canned,350.62,2014,,Cluster 2,Supermarket Type1,6704.61
FDI14,CHUKWUDI018,FDI14_CHUKWUDI018,14.1,Low Fat,0.090043082,Canned,350.37,2016,Medium,Cluster 3,Supermarket Type2,2117.24
FDI14,CHUKWUDI035,FDI14_CHUKWUDI035,14.1,Low Fat,0.089660816,Canned,350.12,2011,Small,Cluster 2,Supermarket Type1,3528.74
FDI14,CHUKWUDI045,FDI14_CHUKWUDI045,14.1,Low Fat,0.089859642,Canned,350.62,2009,,Cluster 2,Supermarket Type1,4234.49
FDI14,CHUKWUDI046,FDI14_CHUKWUDI046,14.1,Ultra Low fat,0.089677773,Canned,349.62,2004,Small,Cluster 1,Supermarket Type1,4234.49
FDI14,CHUKWUDI049,FDI14_CHUKWUDI049,14.1,Low Fat,0.089817198,Canned,356.87,2006,Medium,Cluster 1,Supermarket Type1,8821.85
FDI15,CHUKWUDI017,FDI15_CHUKWUDI017,13.8,Low Fat,0.14215211,Dairy,658.97,2014,,Cluster 2,Supermarket Type1,5962.24
FDI15,CHUKWUDI019,FDI15_CHUKWUDI019,,Low Fat,0.24749009,Dairy,657.97,1992,Small,Cluster 1,Grocery Store,1324.94
FDI16,CHUKWUDI010,FDI16_CHUKWUDI010,14,Normal Fat,0.227260689,Frozen Foods,135.91,2005,,Cluster 3,Grocery Store,399.48
FDI16,CHUKWUDI013,FDI16_CHUKWUDI013,14,Normal Fat,0.135662712,Frozen Foods,130.16,1994,High,Cluster 3,Supermarket Type1,2130.56
FDI19,CHUKWUDI027,FDI19_CHUKWUDI027,,Low Fat,0.052085615,Meat,607.13,1992,Medium,Cluster 3,Supermarket Type3,14541.07
FDI19,CHUKWUDI035,FDI19_CHUKWUDI035,15.1,Low Fat,0.052329172,Meat,607.88,2011,Small,Cluster 2,Supermarket Type1,11511.68
FDI19,CHUKWUDI045,FDI19_CHUKWUDI045,15.1,Low Fat,0,Meat,610.63,2009,,Cluster 2,Supermarket Type1,9088.17
FDI20,CHUKWUDI018,FDI20_CHUKWUDI018,19.1,Low Fat,0.038720852,Fruits and Vegetables,527.15,2016,Medium,Cluster 3,Supermarket Type2,15829.4
FDI20,CHUKWUDI019,FDI20_CHUKWUDI019,,Low Fat,0.067520165,Fruits and Vegetables,528.4,1992,Small,Cluster 1,Grocery Store,1055.29
FDI20,CHUKWUDI027,FDI20_CHUKWUDI027,,Ultra Low fat,0.038377013,Fruits and Vegetables,528.9,1992,Medium,Cluster 3,Supermarket Type3,11080.58
FDI20,CHUKWUDI045,FDI20_CHUKWUDI045,19.1,Low Fat,0.038641968,Fruits and Vegetables,530.4,2009,,Cluster 2,Supermarket Type1,14774.1
FDI21,CHUKWUDI010,FDI21_CHUKWUDI010,5.59,Normal Fat,0.094741514,Snack Foods,157.79,2005,,Cluster 3,Grocery Store,479.38
